TheColoradoShakes	14	0	0	26	0	13	0	25	12	0	24	0	11	0	0	23	0	10	0	22	0	9	0	21	0	8	0	20	0	7	0	19	0	6	18	0	5	0	0	17	0	4	16	0	3	0	15	0	0	2	0	0	0	1
Gman	0	4	0	26	0	20	0	13	0	14	21	0	10	0	0	7	19	0	5	0	0	15	0	8	0	6	0	22	11	0	0	25	0	18	9	0	17	0	16	0	0	23	12	0	0	24	3	0	2	0	0	0	1	0
Jimbo2	0	26	0	13	0	2	1	0	0	25	0	20	0	24	21	0	18	0	19	0	0	22	0	4	0	15	17	0	8	0	7	0	0	14	10	0	0	12	0	23	5	0	3	0	0	11	0	6	16	0	9	0	0	0
Floyd99	10	0	0	22	0	17	0	15	0	2	7	0	0	23	9	0	13	0	18	0	24	0	0	8	26	0	0	21	19	0	0	20	0	16	6	0	14	0	11	0	0	3	0	4	0	25	0	5	12	0	0	0	0	1
JimboShoeLace	0	11	3	0	8	0	7	0	21	0	5	0	10	0	0	6	22	0	9	0	23	0	12	0	17	0	13	0	24	0	0	14	0	4	20	0	15	0	0	16	19	0	18	0	25	0	0	26	1	0	0	2	0	0
TootyRudy	2	0	0	15	0	3	16	0	4	0	17	0	5	0	18	0	6	0	19	0	7	0	0	20	0	8	21	0	0	10	0	22	0	9	23	0	11	0	0	25	0	12	24	0	0	13	0	26	14	0	0	0	1	0
blechel	9	0	0	7	0	17	13	0	0	19	14	0	18	0	10	0	16	0	0	15	23	0	0	11	12	0	22	0	0	8	0	3	0	4	0	2	0	26	0	1	24	0	20	0	0	5	25	0	21	0	0	0	6	0
seconds	14	0	0	9	0	13	8	0	0	12	0	17	0	16	0	18	23	0	7	0	0	5	0	15	26	0	11	0	0	19	22	0	0	6	0	25	24	0	21	0	0	10	0	3	4	0	0	2	20	0	0	0	1	0
Taddie	8	0	0	12	0	10	4	0	0	16	0	26	19	0	0	6	0	3	0	25	0	9	0	24	0	23	0	20	0	17	0	5	0	14	2	0	0	7	0	18	0	13	0	21	0	11	15	0	0	22	0	1	0	0
Dan_Tonio_Lafferty	6	0	2	0	24	0	0	5	17	0	0	15	25	0	3	0	0	4	16	0	8	0	11	0	26	0	18	0	14	0	0	7	0	9	21	0	23	0	20	0	0	13	22	0	0	10	0	19	0	12	0	0	0	1
FullFrontalNerdary	0	2	0	3	4	0	5	0	6	0	7	0	8	0	9	0	10	0	11	0	12	0	13	0	14	0	0	15	16	0	0	17	0	18	19	0	20	0	0	21	22	0	23	0	24	0	0	25	0	26	0	1	0	0
TheRealFatBoy	22	0	10	0	8	0	15	0	0	4	5	0	17	0	12	0	19	0	21	0	0	11	7	0	23	0	3	0	24	0	0	25	0	2	26	0	0	18	0	16	14	0	13	0	0	9	1	0	6	0	0	0	0	20
aboyce5	1	0	2	0	3	0	0	4	5	0	6	0	7	0	8	0	9	0	0	10	0	11	12	0	13	0	14	0	0	15	0	16	0	17	18	0	0	19	0	20	21	0	22	0	0	23	24	0	0	25	26	0	0	0
JonnyWolverine	22	0	4	0	21	0	3	0	0	20	2	0	0	7	0	1	0	6	5	0	0	9	0	14	23	0	0	15	0	8	0	16	0	12	24	0	19	0	11	0	18	0	26	0	0	17	25	0	0	13	0	0	10	0
